TrackID,Name,Artist,Genre,Size,TotalTime,Location,AverageBpm,DateAdded,BitRate,SampleRate
28611275,Party With The Cops (feat. Haley Maze) (Extended Mix),"Blasterjaxx, Neptunica, Haley Maze",Mainstage,9271069,209,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18355495_Party%20With%20The%20Cops%20(feat.%20Haley%20Maze)_(Extended%20Mix).mp3,150.00,2024-02-15,320,44100
122868263,Push Up (Club Version) (Club Version),Creeds,Hard Techno,8462546,198,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17843367_Push%20Up%20(Club%20Version)_(Club%20Version).mp3,160.00,2024-02-15,320,44100
130123397,Vodka (Original Mix),Valley (ESP),Hard Techno,15630303,373,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18346721_Vodka_(Original%20Mix).mp3,145.00,2024-02-15,320,44100
8967002,Toro (I Hate Models Speed Up Revival Edit of Andre VII RMX),"Andre VII, I Hate Models, El Columpio Asesino",Dance / Electro Pop,15230996,371,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17025986_Toro_(I%20Hate%20Models%20Speed%20Up%20Revival%20Edit%20of%20Andre%20VII%20RMX).mp3,150.00,2024-02-15,320,44100
227630832,Vodka (Remix),"EFTEE, Valley (ESP)",Hard Techno,14990186,357,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18346723_Vodka_(Remix).mp3,142.00,2024-02-15,320,44100
166476684,Nightmare (Original Mix),OneFive,Hard Techno,15922548,347,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18401816_Nightmare_(Original%20Mix).mp3,158.00,2024-02-24,320,44100
220386533,RavPower (Original Mix),CARV,Hard Techno,15574436,380,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17399873_RavPower_(Original%20Mix).mp3,152.00,2024-02-24,320,44100
254460963,Ride or Die (Original Mix),"Knäf, Rabteu",Hard Dance / Hardcore,12255730,282,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17199215_Ride%20or%20Die_(Original%20Mix).mp3,160.00,2024-02-24,320,44100
230510497,Boom Boom Boom (Extended Mix),"Technoboy, TNT, Tuneboy",Hard Dance / Hardcore,11228185,225,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17477194_Boom%20Boom%20Boom_(Extended%20Mix).mp3,160.00,2024-02-24,320,44100
12877493,Adhana (Original Mix),"Vini Vici, Astrix",Psy-Trance,18801181,460,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/10044638_Adhana_(Original%20Mix).mp3,138.00,2024-02-24,320,44100
230409236,Another Chance (Original Mix),Sam Paganini,Techno (Peak Time / Driving),16889769,420,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/5799410_Another%20Chance_(Original%20Mix).mp3,125.00,2024-02-24,320,44100
251529433,Anubis (Original mix),Golpe,Hard Techno,14535916,351,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17768092_Anubis_(Original%20mix).mp3,153.00,2024-02-24,320,44100
238788377,Anxiete (Original Mix),"Åmrtüm, Creature De La Nuit",Hard Techno,10705327,243,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17420303_Anxiete_(Original%20Mix).mp3,145.00,2024-02-24,320,44100
221479425,Ashika (Original Mix),CARV,Hard Techno,16585859,405,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17399872_Ashika_(Original%20Mix).mp3,152.00,2024-02-24,320,44100
35879013,Baby again.. (Original Mix),"Four Tet, Skrillex, Fred again..",Bass House,13889231,319,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17525023_Baby%20again.._(Original%20Mix).mp3,127.00,2024-02-24,320,44100
214938890,Bad Talk (MeMachine Remix),Armonique,Indie Dance,15921524,374,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18162682_Bad%20Talk_(MeMachine%20Remix).mp3,123.00,2024-02-24,320,44100
191016897,Bang Boom Bang (Original Mix),CARV,Hard Techno,15589130,380,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18413889_Bang%20Boom%20Bang_(Original%20Mix).mp3,152.00,2024-02-24,320,44100
191327435,Beastmode feat. Stoltenhoff (Original Mix),Yellow Claw,Trap / Hip-Hop / R&B,8188470,192,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/10228309_Beastmode%20feat.%20Stoltenhoff_(Original%20Mix).mp3,160.00,2024-02-24,320,44100
102163058,Beat It Up (Rabteu),Rabteu,Hard Techno,12389435,298,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/18204666_Beat%20It%20Up_(Original%20Mix).mp3,160.00,2024-02-24,320,44100
196930676,Believe (Original Mix),Eli Brown,Techno (Peak Time / Driving),16568359,408,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/16106728_Believe_(Original%20Mix).mp3,132.00,2024-02-24,320,44100
266012162,Believer (Original Mix),"Madeaux, Charles D (USA)",Melodic House & Techno,18385034,452,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17588048_Believer_(Original%20Mix).mp3,128.00,2024-02-24,320,44100
197071762,Black Magic (Extended Mix),Steve Dekay,Trance (Main Floor),12868855,282,file://localhost/Users/markus/Desktop/eneren/Markus%20Hate%20Models%20Mix%202024%20Hard%20Acid%20Fuck%20Ediotion/17906546_Black%20Magic_(Extended%20Mix).mp3,140.00,2024-02-24,320,44100
